ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M114E77, --, --, --, --, --, -- , OBC, false, GG604136-M2, 197, 48.67, --, --, --, 1201-1602-1801-1904-1605-1905, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904#GG:IITKgp:1605#GG:IITBBS:1905, 0, true, NA, NA, false
M101G55, --, --, --, --, --, -- , GEN, false, BT615007-M2, 613, 20.33, --, --, --, 1802-1101, BT:IITR:1802#BT:IISc:1101, 0, true, NA, NA, false
M107J25, --, --, --, --, --, -- , GEN, false, MA323102-M1, 472, 30.67, --, --, --, XXXX-1302-1206-1502-1603-1804-1702-2102-1902-2002-1402-2203-2301-2403, MA:IISc:1103#MA:IITD:1302#MA:IITB:1206#MA:IITK:1502#MA:IITKgp:1603#MA:IITR:1804#MA:IITM:1702#MA:IITH:2102#MA:IITBBS:1902#MA:IITGN:2002#MA:IITG:1402#MA:IITI:2203#MA:IITRPR:2301#MA:IITJ:2403, 0, true, NA, NA, false
M119B82, --, --, --, --, --, -- , GEN, false, BT321001-M0, 729, 19.33, --, --, --, 1204-XXXX-XXXX-1802, BT:IITB:1204#BT:IITB:1210#BT:IITB:1213#BT:IITR:1802, 0, true, NA, NA, false
M110N18, --, --, --, --, --, -- , SC, false, CY404005-M2, 1888, 25, --, --, --, 1601-1205-1501-1401-1701-1301-1803-2101-1901-2001-2401-2302-2201, CY:IITKgp:1601#CY:IITB:1205#CY:IITK:1501#CY:IITG:1401#CY:IITM:1701#CY:IITD:1301#CY:IITR:1803#CY:IITH:2101#CY:IITBBS:1901#CY:IITGN:2001#CY:IITJ:2401#CY:IITRPR:2302#CY:IITI:2201, 0, true, NA, NA, false
M101G87, --, --, --, --, --, -- , GEN, false, CY609200-M2, 408, 46.67, --, --, --, 1401-1601-2401, CY:IITG:1401#CY:IITKgp:1601#CY:IITJ:2401, 0, true, NA, NA, false
M103T56, --, --, --, --, --, -- , GEN, false, MA313012-M0, 1453, 20.33, --, --, --, 1302-2403-1804-1502-2203-2301-1206-2002-1402-XXXX-1603-1702-2102-1902, MA:IITD:1302#MA:IITJ:2403#MA:IITR:1804#MA:IITK:1502#MA:IITI:2203#MA:IITRPR:2301#MA:IITB:1206#MA:IITGN:2002#MA:IITG:1402#MA:IISc:1103#MA:IITKgp:1603#MA:IITM:1702#MA:IITH:2102#MA:IITBBS:1902, 0, true, NA, NA, false
M110W19, --, --, --, --, --, -- , GEN, false, BT201014-M0, 693, 19.67, --, --, --, XXXX-1204-1802-XXXX-1101, BT:IITB:1210#BT:IITB:1204#BT:IITR:1802#BT:IITB:1213#BT:IISc:1101, 0, true, NA, NA, false
M105K64, --, --, --, --, --, -- , ST, false, GG801047-M2, 868, 19.67, --, --, --, 1801-1201-XXXX-1602-1605-1904-1905, GG:IITR:1801#GG:IITB:1201#GG:IITB:1208#GG:IITKgp:1602#GG:IITKgp:1605#GG:IITBBS:1904#GG:IITBBS:1905, 0, true, NA, NA, false
M111F22, --, --, --, --, --, -- , GEN, false, PH205001-M1, 1265, 20.67, --, --, --, 2003-1403-XXXX-XXXX-2402-2103-2303-1903-2202-1703-1805-1303-XXXX-1604-XXXX, PH:IITGN:2003#PH:IITG:1403#PH:IITK:1505#PH:IITB:1212#PH:IITJ:2402#PH:IITH:2103#PH:IITRPR:2303#PH:IITBBS:1903#PH:IITI:2202#PH:IITM:1703#PH:IITR:1805#PH:IITD:1303#PH:IISc:1104#PH:IITKgp:1604#PH:IITB:1213, 0, true, NA, NA, false
