ApplicationId, Allocated-Paper, Allocated-Program, Allocated-Quota, Allocated-Program-Choice, Allocated-Paper-Rank, Allocated-Paper-Mark,  Category, PwD-status, Reg1-ID, Reg1-Rank, Reg1-Marks, Reg2-ID, Reg2-Rank2,  Reg2-Marks,  ValidChoices, Original-Choice, statusId, AutoUpgrade, Quota-Change, Improve-Choice, isSupernumeri
M104R93, PH, 1207, GEN, 1, 16, 56.33, GEN, false, PH304245-M1, 16, 56.33, --, --, --, 1207-XXXX-1503-1703-1303, PH:IITB:1207#PH:IISc:1104#PH:IITK:1503#PH:IITM:1703#PH:IITD:1303, 3, false, No-Quota-Change, Same, false
M111H64, MS, 1504, GEN, 1, 16, 58.33, GEN, false, MS514082-M2, 16, 58.33, --, --, --, 1504-1203-1214-XXXX-1905, MS:IITK:1504#MS:IITB:1203#MS:IITB:1214#MS:IISc:1103#MS:IITBBS:1905, 3, false, No-Quota-Change, Same, false
M116U94, MA, 1206, GEN, 2, 16, 55, GEN, false, MA327459-M1, 16, 55, --, --, --, XXXX-1206-1502-1302-1603-1402-2102-1902-1702-2002-1804-2301-2403-2203, MA:IISc:1103#MA:IITB:1206#MA:IITK:1502#MA:IITD:1302#MA:IITKgp:1603#MA:IITG:1402#MA:IITH:2102#MA:IITBBS:1902#MA:IITM:1702#MA:IITGN:2002#MA:IITR:1804#MA:IITRPR:2301#MA:IITJ:2403#MA:IITI:2203, 4, true, No-Quota-Change, Same, false
M111A64, BT, 1204, GEN, 1, 17, 40, GEN, false, BL320081-M0, 72, 48.67, BT320078-M0, 17, 40, 1204-1102-1802-1210-XXXX, BT:IITB:1204#BL:IISc:1102#BT:IITR:1802#BT:IITB:1210#BT:IITB:1213, 3, false, No-Quota-Change, Same, false
M107K64, GG, 1201, OBC, 1, 17, 73, OBC, false, GG603288-M2, 17, 73, --, --, --, 1201-1602-1801-1904, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
M109W77, GG, 1201, OBC, 1, 17, 73, OBC, false, GG604040-M2, 17, 73, --, --, --, 1201-1602-1801-1904, GG:IITB:1201#GG:IITKgp:1602#GG:IITR:1801#GG:IITBBS:1904, 3, false, No-Quota-Change, Same, false
M107S99, CY, 1501, GEN, 1, 17, 74, GEN, false, CY611195-M2, 17, 74, --, --, --, 1501-1205-1102-1701-1601, CY:IITK:1501#CY:IITB:1205#CY:IISc:1102#CY:IITM:1701#CY:IITKgp:1601, 3, false, No-Quota-Change, Same, false
M111Q86, CY, 1501, GEN, 1, 18, 73.67, GEN, false, CY612086-M2, 18, 73.67, --, --, --, 1501-1205-1601-1401-1701-1102-1301-1901-2101-1803, CY:IITK:1501#CY:IITB:1205#CY:IITKgp:1601#CY:IITG:1401#CY:IITM:1701#CY:IISc:1102#CY:IITD:1301#CY:IITBBS:1901#CY:IITH:2101#CY:IITR:1803, 3, false, No-Quota-Change, Same, false
M111H75, CY, 1501, GEN, 1, 18, 73.67, GEN, false, CY612069-M2, 18, 73.67, --, --, --, 1501-1205-1601-1701-1401-1102, CY:IITK:1501#CY:IITB:1205#CY:IITKgp:1601#CY:IITM:1701#CY:IITG:1401#CY:IISc:1102, 3, false, No-Quota-Change, Same, false
M109E24, MA, 1302, GEN, 2, 18, 55, GEN, false, MA320041-M0, 18, 55, MS320038-M0, 236, 27, XXXX-1302-1502-1206-1603-1214-1702, MA:IISc:1103#MA:IITD:1302#MA:IITK:1502#MA:IITB:1206#MA:IITKgp:1603#MA:IITB:1214#MA:IITM:1702, 3, false, No-Quota-Change, Same, false
