application_id,seat_allotted
M102S96,2403
M105G47,2403
M104H51,2403
M107T64,2403
M111U85,2403
M104E36,2403
M104J78,2403
M105W39,2403
M109M40,2403
M103V74,2402
M112M91,2402
M105U70,2402
M103Y99,2402
M108X35,2402
M102Y29,2402
M104F73,2402
M110W69,2402
M104Z45,2402
M112G76,2402
M103A52,2402
M111P54,2402
M118H67,2401
M108D70,2401
M110W51,2401
M102U51,2401
M103G88,2401
M102F88,2401
M121F43,2401
M102T90,2401
M109K32,2401
M104G95,2401
M106A20,2401
M105J93,2401
M108U28,2401
M121Y93,2303
M113F85,2303
M117V35,2303
M102F86,2303
M112R53,1213
M102G86,1213
M102Y85,2303
M102Z38,2303
M103V74,2303
M112M91,2303
M105U70,2303
M108X35,2303
M102Y29,2303
M104F73,2303
M112G76,2303
M101G71,2303
M112F32,2303
M116A26,2302
M110W51,2302
M102G68,2302
M116E33,2302
M102H89,2302
M109M22,2302
M103W53,2302
M113A18,2302
M112B49,2302
M102T90,2302
M106A20,2302
M114B95,2302
M105J93,2302
M101Y68,2302
M109X84,2302
M104A43,2402
M105T91,2303
M115Y85,2402
M102V97,2303
M101Q52,2303
M105U76,2303
M105J26,2401
M101E33,2401
M104M71,2401
M105K32,2401
M107H36,2401
M107H36,2302
M105C56,2401
M105C56,2302
M102M40,2302
M106A68,2401
M107Q35,2401
M103K95,2302
M109P53,2302
M103V13,2401
M113B86,2302
M107Y71,2401
M107T61,2401
M110H99,2401
M110H99,2302
M104K34,2401
M104K34,2302
M106T60,2302
M113W40,2301
M110M73,2301
M106U68,2301
M102K75,2301
M104K93,1905
M103M72,1905
M101A16,1905
M107K47,1905
M107K22,1905
M104N98,1905
M103K37,1213
M106H94,1905
M105R95,1905
M117S23,1905
M101M81,1905
M110R32,1905
M101Z74,1904
M104N60,1904
M106Z54,1904
M107M67,1904
M108K78,1904
M107F99,1904
M103R69,1904
M109K37,1904
M111E30,1904
M107K47,1904
M104N98,1904
M108U35,1904
M106H94,1904
M107K52,1904
M105R95,1904
M102T71,1904
M110R32,1904
M103P39,1904
M115W93,1904
