application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,acceptance_doc_path,declaration_form_path,undertaking_form_path,bank_challan_path,status_id
M106T13,1504,MS,GEN,1,f,t,/mnt/nas/nas3/set79/bucket95/M106T13/M106T13-ch-20150616211300463,,/mnt/nas/nas3/set79/bucket95/M106T13/M106T13-ch-20150616211420807,/mnt/nas/nas3/set79/bucket95/M106T13/M106T13-ch-20150618224418642,3
M103V90,1601,CY,GEN,1,f,t,/mnt/nas/nas1/set49/bucket29/M103V90/M103V90-ch-20150617192405677,,/mnt/nas/nas1/set49/bucket29/M103V90/M103V90-ch-20150617192555596,/mnt/nas/nas1/set49/bucket29/M103V90/M103V90-ch-20150619155513647,3
M105J72,1102,CY,GEN,1,f,t,/mnt/nas/nas3/set69/bucket27/M105J72/M105J72-ch-20150617122247784,,/mnt/nas/nas3/set69/bucket27/M105J72/M105J72-ch-20150617122323323,/mnt/nas/nas3/set69/bucket27/M105J72/M105J72-ch-20150617183321725,3
M120V92,1206,MA,OBC,2,f,t,/mnt/nas/nas2/set67/bucket70/M120V92/M120V92-ch-20150618180946276,,/mnt/nas/nas2/set67/bucket70/M120V92/M120V92-ch-2015061818102042,/mnt/nas/nas2/set67/bucket70/M120V92/M120V92-ch-20150619104223693,3
M101M12,1904,GG,GEN,2,f,t,/mnt/nas/nas3/set53/bucket59/M101M12/M101M12-ch-20150618095541511,,/mnt/nas/nas3/set53/bucket59/M101M12/M101M12-ch-20150618095603172,/mnt/nas/nas3/set53/bucket59/M101M12/M101M12-ch-20150619103708474,3
M111M50,1207,PH,GEN,1,f,f,/mnt/nas/nas1/set47/bucket82/M111M50/M111M50-ch-20150619000602387,,,/mnt/nas/nas1/set47/bucket82/M111M50/M111M50-ch-2015062011103527,3
M109F45,1602,GG,OBC,2,f,t,/mnt/nas/nas1/set87/bucket20/M109F45/M109F45-ch-20150617131049785,,/mnt/nas/nas1/set87/bucket20/M109F45/M109F45-ch-20150617131136552,/mnt/nas/nas1/set87/bucket20/M109F45/M109F45-ch-20150617180020146,3
M115A20,1302,MA,GEN,1,f,t,/mnt/nas/nas3/set36/bucket54/M115A20/M115A20-ch-20150617124408093,,/mnt/nas/nas3/set36/bucket54/M115A20/M115A20-ch-20150617124419978,/mnt/nas/nas3/set36/bucket54/M115A20/M115A20-ch-20150617151715381,3
M111Y81,1301,CY,GEN,1,f,t,/mnt/nas/nas1/set27/bucket40/M111Y81/M111Y81-ch-20150616203153443,,/mnt/nas/nas1/set27/bucket40/M111Y81/M111Y81-ch-20150616203206165,/mnt/nas/nas1/set27/bucket40/M111Y81/M111Y81-ch-20150617153108083,3
M107F17,1801,GG,OBC,3,f,t,/mnt/nas/nas1/set55/bucket21/M107F17/M107F17-ch-20150617105705845,,/mnt/nas/nas1/set55/bucket21/M107F17/M107F17-ch-20150617105748271,/mnt/nas/nas1/set55/bucket21/M107F17/M107F17-ch-20150617143131974,3
M109A77,1703,PH,GEN,3,t,t,/mnt/nas/nas3/set44/bucket21/M109A77/M109A77-ch-20150618095356499,/mnt/nas/nas3/set44/bucket21/M109A77/M109A77-ch-20150618095435296,/mnt/nas/nas3/set44/bucket21/M109A77/M109A77-ch-20150618095452877,/mnt/nas/nas3/set44/bucket21/M109A77/M109A77-ch-2015061820190387,3
M109G88,1505,PH,GEN,1,f,t,/mnt/nas/nas3/set90/bucket56/M109G88/M109G88-ch-20150616220848295,,/mnt/nas/nas3/set90/bucket56/M109G88/M109G88-ch-20150616220934587,/mnt/nas/nas3/set90/bucket56/M109G88/M109G88-ch-20150617144957384,3
M110D94,2102,MA,OBC,6,t,t,/mnt/nas/nas1/set7/bucket30/M110D94/M110D94-ch-20150618105812355,/mnt/nas/nas1/set7/bucket30/M110D94/M110D94-ch-20150618105908006,/mnt/nas/nas1/set7/bucket30/M110D94/M110D94-ch-20150618105959909,/mnt/nas/nas1/set7/bucket30/M110D94/M110D94-ch-20150618235811258,3
M105H62,1602,GG,OBC,2,f,t,/mnt/nas/nas2/set77/bucket38/M105H62/M105H62-ch-20150617113956422,,/mnt/nas/nas2/set77/bucket38/M105H62/M105H62-ch-20150617114103805,/mnt/nas/nas2/set77/bucket38/M105H62/M105H62-ch-20150617204638476,3
M101N45,1204,BT,OBC,1,f,t,/mnt/nas/nas3/set10/bucket36/M101N45/M101N45-ch-20150616213938853,,/mnt/nas/nas3/set10/bucket36/M101N45/M101N45-ch-20150616213512386,/mnt/nas/nas3/set10/bucket36/M101N45/M101N45-ch-20150617171204423,3
M106G94,1601,CY,GEN,1,f,t,/mnt/nas/nas1/set16/bucket14/M106G94/M106G94-ch-2015061621400872,,/mnt/nas/nas1/set16/bucket14/M106G94/M106G94-ch-20150616214032709,/mnt/nas/nas1/set16/bucket14/M106G94/M106G94-ch-201506182135139,3
